model,RMSE,MAE,MAPE_%,Directional_Accuracy_%
persistence,3.712741103282049,2.6381200000000002,1.2692644359285978,0.0
sma20,10.53588425963858,8.537934000000002,4.111565664745146,46.09218436873748
ema20,9.621673601433496,7.818111167132314,3.7404339689296067,45.89178356713427
